,Seed,Fold,predicted_data,accuracy,precision,recall,f1,f2,specificity,npv,mcc
0,0,1,train_set,0.9640522875816994,0.9746835443037974,0.8953488372093024,0.9333333333333333,0.9101654846335697,0.990909090909091,0.960352422907489,0.9103202947407317
1,0,1,test_set,0.961038961038961,1.0,0.8636363636363636,0.926829268292683,0.8878504672897196,1.0,0.9482758620689655,0.9049671360007385
2,0,2,train_set,0.9771241830065359,1.0,0.9186046511627907,0.9575757575757575,0.933806146572104,1.0,0.9691629955947136,0.9435452482462975
3,0,2,test_set,0.935064935064935,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.8411214953271028,0.9818181818181818,0.9310344827586207,0.8382853470322631
4,0,3,train_set,0.9738562091503268,0.9875,0.9186046511627907,0.9518072289156626,0.9316037735849056,0.9954545454545455,0.9690265486725663,0.935051810662275
5,0,3,test_set,0.935064935064935,1.0,0.7727272727272727,0.8717948717948718,0.8095238095238095,1.0,0.9166666666666666,0.8416254115301732
6,0,4,train_set,0.9706840390879479,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.9375,0.9863636363636363,0.9730941704035875,0.927335183801954
7,0,4,test_set,0.8947368421052632,0.76,0.9047619047619048,0.8260869565217391,0.8715596330275229,0.8909090909090909,0.9607843137254902,0.7573025634223062
8,0,5,train_set,0.9674267100977199,0.9873417721518988,0.896551724137931,0.9397590361445783,0.9133489461358314,0.9954545454545455,0.9605263157894737,0.9195130652635324
9,0,5,test_set,0.9605263157894737,0.875,1.0,0.9333333333333333,0.9722222222222222,0.9454545454545454,1.0,0.9095453409658737
10,1,1,train_set,0.9607843137254902,0.9625,0.8953488372093024,0.927710843373494,0.9080188679245284,0.9863636363636363,0.9601769911504425,0.9019622010794538
11,1,1,test_set,0.961038961038961,1.0,0.8636363636363636,0.926829268292683,0.8878504672897196,1.0,0.9482758620689655,0.9049671360007385
12,1,2,train_set,0.9705882352941176,0.9753086419753086,0.9186046511627907,0.9461077844311377,0.9294117647058824,0.990909090909091,0.9688888888888889,0.9266933848643396
13,1,2,test_set,0.935064935064935,1.0,0.7727272727272727,0.8717948717948718,0.8095238095238095,1.0,0.9166666666666666,0.8416254115301732
14,1,3,train_set,0.9607843137254902,0.9743589743589743,0.8837209302325582,0.926829268292683,0.9004739336492891,0.990909090909091,0.956140350877193,0.9021322766111405
15,1,3,test_set,0.935064935064935,1.0,0.7727272727272727,0.8717948717948718,0.8095238095238095,1.0,0.9166666666666666,0.8416254115301732
16,1,4,train_set,0.9771986970684039,0.9651162790697675,0.9540229885057471,0.9595375722543352,0.956221198156682,0.9863636363636363,0.9819004524886877,0.9436958556044901
