,Seed,Fold,predicted_data,accuracy,precision,recall,f1,f2,specificity,npv,mcc
0,0,1,train_set,0.9672131147540983,0.96875,0.9117647058823529,0.9393939393939394,0.9226190476190477,0.9886363636363636,0.9666666666666667,0.9177418847978442
1,0,1,test_set,0.9516129032258065,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.898876404494382,0.9772727272727273,0.9555555555555556,0.8813142805087107
2,0,2,train_set,0.9673469387755103,0.9692307692307692,0.9130434782608695,0.9402985074626866,0.9237536656891495,0.9886363636363636,0.9666666666666667,0.9186293333178654
3,0,2,test_set,0.9672131147540983,1.0,0.8823529411764706,0.9375,0.9036144578313253,1.0,0.9565217391304348,0.9186891584322587
4,0,3,train_set,0.9673469387755103,0.9692307692307692,0.9130434782608695,0.9402985074626866,0.9237536656891495,0.9886363636363636,0.9666666666666667,0.9186293333178654
5,0,3,test_set,0.9672131147540983,1.0,0.8823529411764706,0.9375,0.9036144578313253,1.0,0.9565217391304348,0.9186891584322587
6,0,4,train_set,0.9755102040816327,0.9846153846153847,0.927536231884058,0.9552238805970149,0.9384164222873901,0.9943181818181818,0.9722222222222222,0.9391831403190415
7,0,4,test_set,0.9344262295081968,0.9333333333333333,0.8235294117647058,0.875,0.8433734939759037,0.9772727272727273,0.9347826086956522,0.8337800089407924
8,0,5,train_set,0.9714285714285714,1.0,0.8985507246376812,0.9465648854961832,0.9171597633136095,1.0,0.9617486338797814,0.9296127859985455
9,0,5,test_set,0.9672131147540983,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9772727272727273,0.9772727272727273,0.9184491978609626
10,1,1,train_set,0.9631147540983607,0.9836065573770492,0.8823529411764706,0.9302325581395349,0.9009009009009009,0.9943181818181818,0.9562841530054644,0.9077307114796105
11,1,1,test_set,0.967741935483871,1.0,0.8888888888888888,0.9411764705882353,0.9090909090909091,1.0,0.9565217391304348,0.9220854330774995
12,1,2,train_set,0.963265306122449,0.96875,0.8985507246376812,0.9323308270676691,0.9117647058823529,0.9886363636363636,0.9613259668508287,0.9083784392553874
13,1,2,test_set,0.9508196721311475,1.0,0.8235294117647058,0.9032258064516129,0.8536585365853658,1.0,0.9361702127659575,0.8780453887076616
14,1,3,train_set,0.9673469387755103,0.9692307692307692,0.9130434782608695,0.9402985074626866,0.9237536656891495,0.9886363636363636,0.9666666666666667,0.9186293333178654
15,1,3,test_set,0.9508196721311475,1.0,0.8235294117647058,0.9032258064516129,0.8536585365853658,1.0,0.9361702127659575,0.8780453887076616
16,1,4,train_set,0.9755102040816327,0.9846153846153847,0.927536231884058,0.9552238805970149,0.9384164222873901,0.9943181818181818,0.9722222222222222,0.9391831403190415
17,1,4,test_set,0.9344262295081968,0.9333333333333333,0.8235294117647058,0.875,0.8433734939759037,0.9772727272727273,0.9347826086956522,0.8337800089407924
18,1,5,train_set,0.963265306122449,0.9838709677419355,0.8840579710144928,0.9312977099236641,0.9023668639053254,0.9943181818181818,0.9562841530054644,0.9087407980431162
19,1,5,test_set,0.9508196721311475,0.9375,0.8823529411764706,0.9090909090909091,0.8928571428571429,0.9772727272727273,0.9555555555555556,0.8761811906830198
20,2,1,train_set,0.9590163934426229,0.967741935483871,0.8823529411764706,0.9230769230769231,0.8982035928143712,0.9886363636363636,0.9560439560439561,0.8969992371555989
21,2,1,test_set,0.9516129032258065,1.0,0.8333333333333334,0.9090909090909091,0.8620689655172413,1.0,0.9361702127659575,0.8832563863180561
22,2,2,train_set,0.9714285714285714,0.9696969696969697,0.927536231884058,0.9481481481481482,0.935672514619883,0.9886363636363636,0.9720670391061452,0.9288801732800992
23,2,2,test_set,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,2,3,train_set,0.9795918367346939,0.9705882352941176,0.9565217391304348,0.9635036496350365,0.9593023255813954,0.9886363636363636,0.9830508474576272,0.9493891226351338
25,2,3,test_set,0.9508196721311475,1.0,0.8235294117647058,0.9032258064516129,0.8536585365853658,1.0,0.9361702127659575,0.8780453887076616
26,2,4,train_set,0.9714285714285714,0.984375,0.9130434782608695,0.9473684210526315,0.9264705882352942,0.9943181818181818,0.9668508287292817,0.9290349008868679
27,2,4,test_set,0.9344262295081968,0.9333333333333333,0.8235294117647058,0.875,0.8433734939759037,0.9772727272727273,0.9347826086956522,0.8337800089407924
28,2,5,train_set,0.9755102040816327,1.0,0.9130434782608695,0.9545454545454546,0.9292035398230089,1.0,0.967032967032967,0.9396505434536336
29,2,5,test_set,0.9508196721311475,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9302325581395349,0.9545454545454546,0.9767441860465116,0.8805489903125961
30,3,1,train_set,0.9795081967213115,1.0,0.9264705882352942,0.9618320610687023,0.9402985074626866,1.0,0.9723756906077348,0.9491456569268221
31,3,1,test_set,0.9354838709677419,1.0,0.7777777777777778,0.875,0.813953488372093,1.0,0.9166666666666666,0.8443713418650369
32,3,2,train_set,0.9510204081632653,0.9523809523809523,0.8695652173913043,0.9090909090909091,0.8849557522123894,0.9829545454545454,0.9505494505494505,0.8773631021262148
33,3,2,test_set,0.9672131147540983,1.0,0.8823529411764706,0.9375,0.9036144578313253,1.0,0.9565217391304348,0.9186891584322587
34,3,3,train_set,0.9795918367346939,0.9705882352941176,0.9565217391304348,0.9635036496350365,0.9593023255813954,0.9886363636363636,0.9830508474576272,0.9493891226351338
35,3,3,test_set,0.9672131147540983,1.0,0.8823529411764706,0.9375,0.9036144578313253,1.0,0.9565217391304348,0.9186891584322587
36,3,4,train_set,0.9755102040816327,0.9846153846153847,0.927536231884058,0.9552238805970149,0.9384164222873901,0.9943181818181818,0.9722222222222222,0.9391831403190415
37,3,4,test_set,0.9344262295081968,0.9333333333333333,0.8235294117647058,0.875,0.8433734939759037,0.9772727272727273,0.9347826086956522,0.8337800089407924
38,3,5,train_set,0.963265306122449,0.9838709677419355,0.8840579710144928,0.9312977099236641,0.9023668639053254,0.9943181818181818,0.9562841530054644,0.9087407980431162
39,3,5,test_set,0.9508196721311475,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9302325581395349,0.9545454545454546,0.9767441860465116,0.8805489903125961
40,4,1,train_set,0.9795081967213115,0.9846153846153847,0.9411764705882353,0.9624060150375939,0.9495548961424333,0.9943181818181818,0.9776536312849162,0.948787393756429
41,4,1,test_set,0.9516129032258065,1.0,0.8333333333333334,0.9090909090909091,0.8620689655172413,1.0,0.9361702127659575,0.8832563863180561
42,4,2,train_set,0.9591836734693877,0.9682539682539683,0.8840579710144928,0.9242424242424242,0.8997050147492626,0.9886363636363636,0.9560439560439561,0.8981255825686878
43,4,2,test_set,0.9672131147540983,1.0,0.8823529411764706,0.9375,0.9036144578313253,1.0,0.9565217391304348,0.9186891584322587
44,4,3,train_set,0.9755102040816327,0.9846153846153847,0.927536231884058,0.9552238805970149,0.9384164222873901,0.9943181818181818,0.9722222222222222,0.9391831403190415
45,4,3,test_set,0.9672131147540983,1.0,0.8823529411764706,0.9375,0.9036144578313253,1.0,0.9565217391304348,0.9186891584322587
46,4,4,train_set,0.9755102040816327,0.9846153846153847,0.927536231884058,0.9552238805970149,0.9384164222873901,0.9943181818181818,0.9722222222222222,0.9391831403190415
47,4,4,test_set,0.9344262295081968,0.9333333333333333,0.8235294117647058,0.875,0.8433734939759037,0.9772727272727273,0.9347826086956522,0.8337800089407924
48,4,5,train_set,0.963265306122449,0.9838709677419355,0.8840579710144928,0.9312977099236641,0.9023668639053254,0.9943181818181818,0.9562841530054644,0.9087407980431162
49,4,5,test_set,0.9508196721311475,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9302325581395349,0.9545454545454546,0.9767441860465116,0.8805489903125961
50,5,1,train_set,0.9754098360655737,0.984375,0.9264705882352942,0.9545454545454546,0.9375,0.9943181818181818,0.9722222222222222,0.9385222318552564
51,5,1,test_set,0.9516129032258065,1.0,0.8333333333333334,0.9090909090909091,0.8620689655172413,1.0,0.9361702127659575,0.8832563863180561
52,5,2,train_set,0.9714285714285714,0.9696969696969697,0.927536231884058,0.9481481481481482,0.935672514619883,0.9886363636363636,0.9720670391061452,0.9288801732800992
53,5,2,test_set,0.9672131147540983,1.0,0.8823529411764706,0.9375,0.9036144578313253,1.0,0.9565217391304348,0.9186891584322587
54,5,3,train_set,0.9755102040816327,0.9701492537313433,0.9420289855072463,0.9558823529411765,0.9475218658892128,0.9886363636363636,0.9775280898876404,0.9391328265344847
55,5,3,test_set,0.9672131147540983,1.0,0.8823529411764706,0.9375,0.9036144578313253,1.0,0.9565217391304348,0.9186891584322587
56,5,4,train_set,0.9795918367346939,1.0,0.927536231884058,0.9624060150375939,0.9411764705882353,1.0,0.9723756906077348,0.9496913625183483
57,5,4,test_set,0.9508196721311475,0.9375,0.8823529411764706,0.9090909090909091,0.8928571428571429,0.9772727272727273,0.9555555555555556,0.8761811906830198
58,5,5,train_set,0.963265306122449,0.9838709677419355,0.8840579710144928,0.9312977099236641,0.9023668639053254,0.9943181818181818,0.9562841530054644,0.9087407980431162
59,5,5,test_set,0.9672131147540983,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9772727272727273,0.9772727272727273,0.9184491978609626
60,6,1,train_set,0.9713114754098361,0.9841269841269841,0.9117647058823529,0.9465648854961832,0.9253731343283582,0.9943181818181818,0.9668508287292817,0.9282589740002217
61,6,1,test_set,0.9516129032258065,1.0,0.8333333333333334,0.9090909090909091,0.8620689655172413,1.0,0.9361702127659575,0.8832563863180561
62,6,2,train_set,0.9591836734693877,0.9682539682539683,0.8840579710144928,0.9242424242424242,0.8997050147492626,0.9886363636363636,0.9560439560439561,0.8981255825686878
63,6,2,test_set,0.9672131147540983,1.0,0.8823529411764706,0.9375,0.9036144578313253,1.0,0.9565217391304348,0.9186891584322587
64,6,3,train_set,0.963265306122449,0.9545454545454546,0.9130434782608695,0.9333333333333333,0.9210526315789473,0.9829545454545454,0.9664804469273743,0.9084257743538342
65,6,3,test_set,0.9180327868852459,0.875,0.8235294117647058,0.8484848484848485,0.8333333333333334,0.9545454545454546,0.9333333333333333,0.7930598024533709
66,6,4,train_set,0.9795918367346939,1.0,0.927536231884058,0.9624060150375939,0.9411764705882353,1.0,0.9723756906077348,0.9496913625183483
67,6,4,test_set,0.9344262295081968,0.9333333333333333,0.8235294117647058,0.875,0.8433734939759037,0.9772727272727273,0.9347826086956522,0.8337800089407924
68,6,5,train_set,0.963265306122449,1.0,0.8695652173913043,0.9302325581395349,0.8928571428571429,1.0,0.9513513513513514,0.9095394684417764
69,6,5,test_set,0.9344262295081968,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9545454545454546,0.9545454545454546,0.8368983957219251
70,7,1,train_set,0.9754098360655737,0.984375,0.9264705882352942,0.9545454545454546,0.9375,0.9943181818181818,0.9722222222222222,0.9385222318552564
71,7,1,test_set,0.9838709677419355,1.0,0.9444444444444444,0.9714285714285714,0.9550561797752809,1.0,0.9777777777777777,0.9609665915750957
72,7,2,train_set,0.9714285714285714,0.984375,0.9130434782608695,0.9473684210526315,0.9264705882352942,0.9943181818181818,0.9668508287292817,0.9290349008868679
73,7,2,test_set,0.9836065573770492,1.0,0.9411764705882353,0.9696969696969697,0.9523809523809523,1.0,0.9777777777777777,0.9593025789126687
74,7,3,train_set,0.9714285714285714,0.9428571428571428,0.9565217391304348,0.9496402877697842,0.953757225433526,0.9772727272727273,0.9828571428571429,0.9297455982527455
75,7,3,test_set,0.9508196721311475,0.9375,0.8823529411764706,0.9090909090909091,0.8928571428571429,0.9772727272727273,0.9555555555555556,0.8761811906830198
76,7,4,train_set,0.9836734693877551,0.9850746268656716,0.9565217391304348,0.9705882352941176,0.9620991253644315,0.9943181818181818,0.9831460674157303,0.9594909527511675
77,7,4,test_set,0.9344262295081968,0.9333333333333333,0.8235294117647058,0.875,0.8433734939759037,0.9772727272727273,0.9347826086956522,0.8337800089407924
78,7,5,train_set,0.9673469387755103,0.9841269841269841,0.8985507246376812,0.9393939393939394,0.9144542772861357,0.9943181818181818,0.9615384615384616,0.9188880630111607
79,7,5,test_set,0.9344262295081968,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9545454545454546,0.9545454545454546,0.8368983957219251
80,8,1,train_set,0.9836065573770492,1.0,0.9411764705882353,0.9696969696969697,0.9523809523809523,1.0,0.9777777777777777,0.9593025789126687
81,8,1,test_set,0.9838709677419355,1.0,0.9444444444444444,0.9714285714285714,0.9550561797752809,1.0,0.9777777777777777,0.9609665915750957
82,8,2,train_set,0.9714285714285714,0.984375,0.9130434782608695,0.9473684210526315,0.9264705882352942,0.9943181818181818,0.9668508287292817,0.9290349008868679
83,8,2,test_set,0.9672131147540983,1.0,0.8823529411764706,0.9375,0.9036144578313253,1.0,0.9565217391304348,0.9186891584322587
84,8,3,train_set,0.9836734693877551,1.0,0.9420289855072463,0.9701492537313433,0.9530791788856305,1.0,0.9777777777777777,0.9597369473202174
85,8,3,test_set,0.9672131147540983,1.0,0.8823529411764706,0.9375,0.9036144578313253,1.0,0.9565217391304348,0.9186891584322587
86,8,4,train_set,0.9755102040816327,0.9846153846153847,0.927536231884058,0.9552238805970149,0.9384164222873901,0.9943181818181818,0.9722222222222222,0.9391831403190415
87,8,4,test_set,0.9344262295081968,0.9333333333333333,0.8235294117647058,0.875,0.8433734939759037,0.9772727272727273,0.9347826086956522,0.8337800089407924
88,8,5,train_set,0.9714285714285714,0.984375,0.9130434782608695,0.9473684210526315,0.9264705882352942,0.9943181818181818,0.9668508287292817,0.9290349008868679
89,8,5,test_set,0.9508196721311475,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9302325581395349,0.9545454545454546,0.9767441860465116,0.8805489903125961
90,9,1,train_set,0.9590163934426229,0.967741935483871,0.8823529411764706,0.9230769230769231,0.8982035928143712,0.9886363636363636,0.9560439560439561,0.8969992371555989
91,9,1,test_set,0.967741935483871,1.0,0.8888888888888888,0.9411764705882353,0.9090909090909091,1.0,0.9565217391304348,0.9220854330774995
